Data;Kupno;"Zmiana (kupno)";Sprzedaż;"Zmiana (sprzedaż)"
"2023-02-24 00:00:00";4,5658;-0,0226;4,8293;-0,0235
"2023-02-23 00:00:00";4,5884;-0,0015;4,8528;-0,0016
"2023-02-22 00:00:00";4,5899;0,0046;4,8544;0,0049
"2023-02-21 00:00:00";4,5853;-0,0109;4,8495;-0,0115
"2023-02-20 00:00:00";4,5962;-0,0159;4,8610;-0,0164
"2023-02-17 00:00:00";4,6121;0,0064;4,8774;0,0065
"2023-02-16 00:00:00";4,6057;-0,0107;4,8709;-0,0111
"2023-02-15 00:00:00";4,6164;-0,0105;4,8820;-0,0109
"2023-02-14 00:00:00";4,6269;0,0069;4,8929;0,0071
"2023-02-13 00:00:00";4,6200;0,0243;4,8858;0,0253
"2023-02-10 00:00:00";4,5957;0,0183;4,8605;0,0190
"2023-02-09 00:00:00";4,5774;-0,0115;4,8415;-0,0119
"2023-02-08 00:00:00";4,5889;0,0051;4,8534;0,0054
"2023-02-07 00:00:00";4,5838;0,0246;4,8480;0,0256
"2023-02-06 00:00:00";4,5592;0,0327;4,8224;0,0339
"2023-02-03 00:00:00";4,5265;-0,0181;4,7885;-0,0187
"2023-02-02 00:00:00";4,5446;-0,0062;4,8072;-0,0066
"2023-02-01 00:00:00";4,5508;-0,0013;4,8138;-0,0013
"2023-01-31 00:00:00";4,5521;0,0030;4,8151;0,0030
"2023-01-30 00:00:00";4,5491;-0,0022;4,8121;-0,0023
"2023-01-27 00:00:00";4,5513;-0,0047;4,8144;-0,0048
"2023-02-14 00:00:00";4,6269;0,0069;4,8929;0,0071
